customer_id,product_id,action_date,type,age_range,gender,customer_register_date,customer_level,city_level,brand,shop_id,category,product_market_date,fans_number,vip_number,shop_register_date,shop_category,shop_score,action_day
782873,295344,2018/4/10 9:48,PageView,5,W,2017/4/17,1,4,Apple,5523,Phone,2016/4/22,0,0,,Electronics,0,2018/4/10
1245409,304552,2018/4/13 23:45,PageView,5,M,2016/2/28,5,2,Huawei,5765,Phone,2017/3/16,0,0,,Electronics,0,2018/4/13
59210,73384,2018/4/11 19:11,PageView,6,M,2006/6/18,7,3,Huawei,7413,Tablet,2014/12/10,0,0,,Electronics,0,2018/4/11
1563340,115931,2018/4/9 20:27,PageView,6,W,2017/1/28,1,4,Lipton,7780,Tea,2016/10/28,10951,11129,2016/9/1,Food,9.678848,2018/4/9
906676,298322,2018/4/12 8:31,PageView,6,W,2015/11/11,1,4,LukFook,8389,Bracelet,2014/4/4,9817,16933,2014/3/17,Jewellery Accessories,9.525021,2018/4/12
716462,329929,2018/4/15 15:43,PageView,5,W,2015/4/27,1,1,Apple,5885,Phone,2018/1/23,0,0,,Electronics,0,2018/4/15
144707,82249,2018/4/11 17:12,PageView,5,M,2010/5/21,7,5,Chow Taiseng,5234,Necklace,2017/5/11,1108,24802,2017/5/9,Jewellery Accessories,9.326868,2018/4/11
105706,148129,2018/4/15 12:20,PageView,5,W,2012/7/21,7,1,Lipton,5779,Tea,2016/11/5,25611,14722,2016/10/26,Food,9.569798,2018/4/15
888483,157223,2018/4/9 13:13,PageView,5,W,2011/11/30,7,3,Other,802,Phone,2017/5/12,0,0,,Electronics,0,2018/4/9
923437,248899,2018/4/15 6:04,PageView,5,M,2017/3/25,6,5,Chow Tai Fook,7311,Necklace,2015/10/10,3439,165681,2015/7/8,Jewellery Accessories,9.167991,2018/4/15
936737,157682,2018/4/8 13:01,PageView,1,W,2014/2/4,7,3,Sumsung,10315,Phone,2014/3/12,0,0,,Electronics,0,2018/4/8
344523,149912,2018/4/8 9:14,PageView,5,M,2010/5/1,7,4,Apple,5523,Phone,2017/3/30,0,0,,Electronics,0,2018/4/8
641222,86463,2018/4/15 13:53,PageView,5,W,2013/12/6,5,4,Li-Ning,4711,Badminton,2017/3/23,78212,32793,2016/12/7,Outdoor Sports,9.499617,2018/4/15
11862,72685,2018/4/14 22:38,PageView,5,M,2014/12/3,5,5,Huawei,8952,Phone,2017/9/29,0,0,,Electronics,0,2018/4/14
768708,81731,2018/4/13 1:49,PageView,5,M,2011/11/12,7,3,Other,4731,Cookie,2017/11/12,9744,208930,2017/7/4,Food,9.522598,2018/4/13
1278113,344008,2018/4/9 22:18,PageView,6,M,2017/7/28,5,1,LEDIN,2292,Coat,2015/11/7,37862,66498,2015/5/13,Clothes,9.449004,2018/4/9
1278113,31583,2018/4/9 22:26,PageView,6,M,2017/7/28,5,1,Huawei,8952,Phone,2013/3/7,0,0,,Electronics,0,2018/4/9
110045,89740,2018/4/14 21:16,PageView,5,W,2014/6/25,1,4,Huawei,1783,Tablet,2017/12/26,0,0,,Electronics,0,2018/4/14
859987,344340,2018/4/11 22:54,PageView,6,M,2015/2/8,7,4,Huawei,8952,Phone,2012/12/11,0,0,,Electronics,0,2018/4/11
1286113,150215,2018/4/15 21:14,PageView,6,M,2012/10/29,5,5,Other,3982,Cookie,2016/7/15,16932,176679,2015/5/11,Food,9.418023,2018/4/15
465441,361681,2018/4/10 11:52,PageView,2,M,2011/12/2,7,3,Lipton,5998,Tea,2013/8/19,41445,88076,2012/3/14,Food,9.388256,2018/4/10
647269,279234,2018/4/11 7:17,PageView,6,M,2016/3/23,5,3,Other,4781,Nut,2015/3/26,31160,90823,2015/3/4,Food,9.360032,2018/4/11
1298203,146174,2018/4/10 16:05,PageView,5,W,2018/1/18,6,1,Lenovo,2744,Notebook,2015/10/21,0,0,,Electronics,0,2018/4/10
1049337,138578,2018/4/10 19:01,PageView,2,W,2013/10/23,5,3,Apple,4178,Phone,2016/9/26,0,0,,Electronics,0,2018/4/10
782641,337560,2018/4/12 17:06,PageView,2,W,2015/3/4,7,3,Haier,369,Television,2018/2/13,1298,8830,2018/2/11,Household Eletric Appliance,10,2018/4/12
210342,295554,2018/4/15 5:40,PageView,6,W,2011/8/30,7,3,Huawei,4280,Phone,2017/8/22,0,0,,Electronics,0,2018/4/15
240117,152685,2018/4/15 20:52,PageView,5,M,2017/8/29,1,5,Apple,8229,Phone,2015/12/1,0,0,,Electronics,0,2018/4/15
593134,327034,2018/4/11 9:49,PageView,5,M,2012/10/16,7,1,Other,5979,Coat,2016/10/26,252214,61459,2014/3/15,Clothes,9.783572,2018/4/11
1219282,296396,2018/4/15 23:37,PageView,5,W,2016/3/22,7,3,Other,802,Phone,2017/2/6,0,0,,Electronics,0,2018/4/15
1464953,38692,2018/4/13 7:58,PageView,6,M,2012/4/12,7,4,Lipton,2443,Tea,2017/7/18,1844,4189,2017/3/11,Food,9.369585,2018/4/13
1422834,72969,2018/4/8 0:09,PageView,5,W,2013/11/9,1,1,Huawei,5765,Phone,2017/9/7,0,0,,Electronics,0,2018/4/8
777844,76019,2018/4/15 22:55,PageView,2,M,2011/11/6,7,4,Other,5349,Coat,2016/11/1,1769,28237,2015/1/22,Clothes,9.358486,2018/4/15
1567606,274074,2018/4/12 22:03,PageView,4,M,2018/3/24,6,6,Huawei,1865,Phone,2015/9/14,0,0,,Electronics,0,2018/4/12
1393538,131393,2018/4/8 20:02,PageView,6,M,2009/7/10,7,3,Li-Ning,9651,Football,2013/3/15,85528,132062,2013/3/5,Outdoor Sports,9.712776,2018/4/8
1259118,121282,2018/4/11 16:10,PageView,1,M,2016/12/22,5,3,Estee Lauder,8353,Lipstick,2017/5/12,49753,57549,2017/5/9,Beauty Makeup,9.497862,2018/4/11
250231,272208,2018/4/8 23:19,PageView,5,W,2016/11/6,7,1,Vivo,9973,Phone,2016/4/8,0,0,,Electronics,0,2018/4/8
383809,133478,2018/4/11 7:01,PageView,5,M,2013/4/17,7,4,Other,4046,Coat,2017/7/12,48701,45614,2016/11/15,Clothes,9.365345,2018/4/11
912990,78507,2018/4/15 1:09,PageView,5,M,2013/1/2,7,3,Lays,2253,Potatio Chips,2016/3/9,54480,40285,2016/1/5,Food,9.304747,2018/4/15
711224,109606,2018/4/10 18:47,PageView,6,M,2012/1/10,1,1,Other,5632,Perfume,2015/9/30,456820,403680,2015/9/9,Beauty Makeup,9.749467,2018/4/10
1362715,267841,2018/4/8 18:37,PageView,5,M,2012/1/1,7,1,Nikon,3217,Digital Camera,2010/6/11,0,0,,Electronics,0,2018/4/8
1192991,36368,2018/4/8 8:17,PageView,5,M,2017/5/15,5,1,Lipton,7045,Tea,2015/1/18,28133,328449,2013/9/6,Food,9.51801,2018/4/8
33850,320225,2018/4/13 15:25,PageView,6,M,2017/4/26,5,5,Other,199,Cookie,2017/3/22,2462,33695,2017/3/5,Food,9.035292,2018/4/13
1252123,218771,2018/4/12 12:38,PageView,5,W,2017/12/7,1,5,Sumsung,4044,Phone,2013/3/7,0,0,,Electronics,0,2018/4/12
374723,340863,2018/4/9 15:48,PageView,2,W,2013/5/9,5,5,Sumsung,9257,Phone,2013/3/6,0,0,,Electronics,0,2018/4/9
696360,180767,2018/4/12 5:48,PageView,5,W,2014/5/24,1,3,Other,8451,Phone,2013/11/1,0,0,,Electronics,0,2018/4/12
861643,179768,2018/4/15 0:50,PageView,5,M,2015/3/13,5,3,PEACEBIRD,294,Coat,2017/5/25,277844,30499,2017/5/19,Clothes,9.640519,2018/4/15
1367112,246578,2018/4/8 10:53,PageView,5,W,2013/12/10,1,3,Haier,4064,Refrigerator,2017/10/17,3758,30053,2017/4/12,Household Eletric Appliance,9.400254,2018/4/8
115980,163260,2018/4/10 13:53,PageView,5,W,2017/11/25,5,5,Apple,607,Tablet,2017/10/19,0,0,,Electronics,0,2018/4/10
1160810,298649,2018/4/11 0:08,PageView,5,W,2014/9/23,6,4,Other,4611,Facial Essence,2016/10/14,3335,294188,2016/10/14,Beauty Makeup,9.446171,2018/4/11
156266,49889,2018/4/11 22:37,PageView,6,W,2017/7/9,6,4,Kuka,2968,Bed,2017/3/21,161605,240354,2016/9/5,Furniture,9.592869,2018/4/11
1099760,47782,2018/4/12 6:11,PageView,5,W,2012/7/31,5,3,SEPTWOLVES,339,Coat,2016/6/19,23742,83051,2016/2/24,Clothes,9.704283,2018/4/12
233857,152092,2018/4/11 8:20,PageView,6,W,2015/6/23,5,4,Other,4005,Candy,2016/3/20,94825,761839,2015/11/13,Food,9.706824,2018/4/11
1336313,29125,2018/4/9 19:07,PageView,2,M,2011/11/2,7,5,Huawei,7503,Phone,2017/8/10,0,0,,Electronics,0,2018/4/9
1340955,143323,2018/4/9 12:06,PageView,5,W,2012/12/18,5,3,Other,802,Phone,2016/8/1,0,0,,Electronics,0,2018/4/9
29673,149661,2018/4/13 11:27,PageView,4,W,2017/4/3,6,5,DELL,2216,Notebook,2016/10/14,0,0,,Electronics,0,2018/4/13
1439281,85976,2018/4/10 13:23,PageView,5,M,2009/1/19,7,4,HLA,405,Coat,2018/1/20,227557,176391,2014/9/22,Clothes,9.213539,2018/4/10
578290,258492,2018/4/13 13:29,PageView,5,M,2013/7/29,1,1,Apple,4178,Phone,2014/5/19,0,0,,Electronics,0,2018/4/13
227373,302588,2018/4/12 23:48,PageView,5,M,2012/12/8,7,4,Other,802,Phone,2017/4/7,0,0,,Electronics,0,2018/4/12
188318,89236,2018/4/12 2:53,PageView,5,W,2013/12/4,5,3,Other,7439,Coat,2017/3/14,32483,29953,2016/5/23,Clothes,9.460218,2018/4/12
1392369,306785,2018/4/12 10:55,PageView,5,M,2017/8/23,6,4,Innisfree,4019,Facial Essence,2017/5/16,24976,187928,2017/4/26,Beauty Makeup,9.393827,2018/4/12
1332817,81219,2018/4/14 12:06,PageView,6,W,2012/5/18,7,3,Apple,157,Phone,2016/7/29,0,0,,Electronics,0,2018/4/14
359127,144251,2018/4/13 12:31,PageView,5,W,2015/4/12,5,5,Li-Ning,3261,Football,2014/12/8,6920,11459,2014/12/8,Outdoor Sports,9.006196,2018/4/13
413470,295554,2018/4/12 17:41,PageView,5,M,2015/5/31,5,4,Huawei,4280,Phone,2017/8/22,0,0,,Electronics,0,2018/4/12
1060345,43967,2018/4/8 9:07,PageView,5,M,2016/1/24,1,3,Apple,157,Phone,2017/12/14,0,0,,Electronics,0,2018/4/8
1138315,258625,2018/4/8 10:10,PageView,6,M,2014/1/15,7,4,HLA,405,Coat,2014/9/25,227557,176391,2014/9/22,Clothes,9.213539,2018/4/8
1341669,159842,2018/4/8 12:24,PageView,6,M,2013/12/7,7,1,Other,6472,Coat,2016/11/4,117991,29566,2016/11/2,Clothes,9.29883,2018/4/8
1464249,264513,2018/4/11 13:00,PageView,5,M,2011/5/20,7,4,Huawei,1783,Tablet,2014/10/9,0,0,,Electronics,0,2018/4/11
173381,97463,2018/4/14 23:54,PageView,5,W,2014/11/3,1,5,Huawei,4513,Phone,2015/10/23,0,0,,Electronics,0,2018/4/14
1028862,15246,2018/4/15 19:14,PageView,2,M,2015/11/23,7,1,Lipton,7037,Tea,2017/8/10,14003,24349,2014/9/10,Food,9.12825,2018/4/15
614736,36592,2018/4/15 13:02,PageView,5,M,2013/1/31,7,4,Huawei,4513,Tablet,2015/11/2,0,0,,Electronics,0,2018/4/15
994171,314739,2018/4/14 16:16,PageView,6,W,2010/9/18,5,4,Li-Ning,4711,Badminton,2017/3/24,78212,32793,2016/12/7,Outdoor Sports,9.499617,2018/4/14
291430,99456,2018/4/10 20:59,PageView,6,M,2014/2/15,7,4,Apple,4119,Phone,2017/1/9,0,0,,Electronics,0,2018/4/10
565424,140717,2018/4/15 16:42,PageView,5,M,2013/9/28,7,4,Other,2572,Coat,2017/9/2,31735,14204,2017/8/5,Clothes,9.835504,2018/4/15
1256106,227736,2018/4/10 0:39,PageView,5,M,2015/7/13,5,4,Loreal,4665,Facial Essence,2017/8/8,81021,206952,2017/6/27,Beauty Makeup,9.489199,2018/4/10
1518612,308457,2018/4/8 15:55,PageView,6,W,2011/11/6,7,3,Huawei,8952,Phone,2013/12/19,0,0,,Electronics,0,2018/4/8
725025,158381,2018/4/10 0:03,PageView,5,M,2012/2/24,7,5,Apple,3527,Phone,2016/4/13,0,0,,Electronics,0,2018/4/10
741233,375320,2018/4/10 1:14,PageView,5,M,2011/12/15,7,1,Huawei,8952,Phone,2017/9/29,0,0,,Electronics,0,2018/4/10
851529,208902,2018/4/15 11:41,PageView,4,W,2018/2/2,1,5,Huawei,1107,Phone,2015/4/28,0,0,,Electronics,0,2018/4/15
67911,195443,2018/4/11 15:15,PageView,5,M,2016/5/16,5,3,Other,3578,Facial Moisturizer,2016/1/7,58801,97678,2016/1/6,Beauty Makeup,9.48444,2018/4/11
178268,103397,2018/4/14 21:27,PageView,6,M,2016/12/11,5,4,Other,2885,Coat,2017/5/16,927,3120,2017/4/27,Clothes,9.645465,2018/4/14
180200,354758,2018/4/14 8:00,PageView,5,W,2012/10/18,5,4,Sumsung,2115,Phone,2015/12/31,0,0,,Electronics,0,2018/4/14
116274,366763,2018/4/10 14:37,PageView,5,W,2012/5/28,7,1,Huawei,9198,Tablet,2016/10/18,0,0,,Electronics,0,2018/4/10
1197571,35890,2018/4/14 9:06,PageView,6,M,2015/10/13,6,4,Loreal,2645,Facial Essence,2017/12/6,25848,30271,2017/11/20,Beauty Makeup,9.743273,2018/4/14
786188,206250,2018/4/8 5:21,PageView,4,W,2016/5/21,6,3,Lancome,7330,Makerup Water,2014/11/13,141378,513566,2014/11/10,Beauty Makeup,9.572996,2018/4/8
1091121,244336,2018/4/12 12:34,PageView,2,W,2011/8/6,1,1,Estee Lauder,1268,Lipstick,2017/10/17,65168,27692,2017/9/21,Beauty Makeup,9.548899,2018/4/12
992992,122048,2018/4/13 1:31,PageView,1,M,2016/11/27,6,1,Supor,7400,Induction Cooker,2017/3/15,6155,400279,2013/2/18,Household Eletric Appliance,9.008749,2018/4/13
1389350,280229,2018/4/14 10:47,PageView,6,W,2018/4/13,6,1,Apple,4178,Phone,2014/6/23,0,0,,Electronics,0,2018/4/14
592389,274366,2018/4/10 20:06,PageView,5,W,2013/1/9,7,4,Sony,7141,Digital Camera,2017/3/9,0,0,,Electronics,0,2018/4/10
538299,376437,2018/4/10 15:46,PageView,5,W,2018/1/11,6,1,Redmi,6367,Phone,2010/6/9,0,0,,Electronics,0,2018/4/10
345759,108706,2018/4/11 21:24,PageView,6,M,2016/5/28,5,4,Other,2174,Face Cream,2015/9/24,1522,45173,2014/11/10,Beauty Makeup,9.258421,2018/4/11
108415,175827,2018/4/14 12:15,PageView,5,W,2017/5/30,6,3,Lancome,7330,Foundation Make-up,2015/8/5,141378,513566,2014/11/10,Beauty Makeup,9.572996,2018/4/14
873791,69107,2018/4/8 15:43,PageView,1,M,2014/9/10,5,3,Kuka,7655,Bed,2018/3/20,13012,98698,2013/11/14,Furniture,9.456334,2018/4/8
39810,179085,2018/4/14 11:38,PageView,2,M,2017/11/28,1,3,Lenovo,3933,Notebook,2015/6/1,0,0,,Electronics,0,2018/4/14
39810,159523,2018/4/15 23:14,PageView,2,M,2017/11/28,1,3,Lipton,7985,Tea,2018/1/10,2041,14933,2017/4/26,Food,9.291653,2018/4/15
1289536,188969,2018/4/10 12:55,PageView,2,M,2017/11/16,7,4,Ton Lion,355,Coat,2015/4/1,6247,12402,2014/12/3,Clothes,9.482555,2018/4/10
1261750,171456,2018/4/8 20:46,PageView,1,M,2018/3/7,6,1,Other,9070,Coat,2017/4/19,357683,18566,2014/4/2,Clothes,9.351074,2018/4/8
495989,133485,2018/4/8 22:10,PageView,5,M,2017/11/18,6,1,Apple,4119,Tablet,2017/1/9,0,0,,Electronics,0,2018/4/8
1309347,34054,2018/4/11 17:13,PageView,6,M,2014/3/21,7,5,ELand,5733,Coat,2018/1/15,398541,856414,2013/6/4,Clothes,9.426208,2018/4/11
1324459,725,2018/4/9 20:36,PageView,5,M,2008/3/5,7,3,Acer,1615,Notebook,2014/11/20,0,0,,Electronics,0,2018/4/9
26265,41124,2018/4/9 16:14,PageView,5,M,2011/9/7,7,3,Other,9381,Candy,2016/1/21,4600,16329,2014/12/10,Food,9.042219,2018/4/9
1451853,175353,2018/4/8 15:20,PageView,5,M,2015/3/8,1,4,Apple,4178,Phone,2017/9/29,0,0,,Electronics,0,2018/4/8
721468,87511,2018/4/11 20:48,PageView,6,M,2016/8/22,1,4,Other,8510,Milk,2016/8/2,37605,133266,2013/6/21,Food,9.60314,2018/4/11
837073,231609,2018/4/9 22:02,PageView,5,W,2015/1/17,5,4,Apple,704,Phone,2016/2/16,0,0,,Electronics,0,2018/4/9
1139986,248826,2018/4/8 9:57,PageView,5,W,2013/9/28,1,4,Huawei,1865,Phone,2013/12/20,0,0,,Electronics,0,2018/4/8
652185,50067,2018/4/15 13:02,PageView,6,M,2010/9/7,7,3,Apple,9203,Tablet,2015/12/4,0,0,,Electronics,0,2018/4/15
538576,260996,2018/4/8 8:21,PageView,6,W,2013/11/29,1,3,Other,3888,Foundation Make-up,2016/12/15,174285,264951,2014/7/5,Beauty Makeup,9.500156,2018/4/8
1341543,291632,2018/4/8 12:29,PageView,5,M,2014/8/8,7,5,Other,8411,Phone,2013/8/27,0,0,,Electronics,0,2018/4/8
1263900,72000,2018/4/9 20:18,PageView,6,M,2016/12/21,7,4,Microsoft,4296,Xbox,2012/12/25,0,0,,Electronics,0,2018/4/9
1263900,11190,2018/4/10 1:14,PageView,6,M,2016/12/21,7,4,Vivo,3568,Phone,2017/5/8,0,0,,Electronics,0,2018/4/10
1263900,251082,2018/4/9 20:27,PageView,6,M,2016/12/21,7,4,Huawei,5332,Phone,2017/6/5,0,0,,Electronics,0,2018/4/9
1177078,199243,2018/4/15 9:20,PageView,6,M,2017/6/7,1,3,UNIQLO,8985,Coat,2014/10/13,24231,424904,2013/6/4,Clothes,9.328126,2018/4/15
131492,96735,2018/4/10 21:42,PageView,6,M,2016/7/22,1,5,Other,7385,Coat,2015/6/4,27959,35826,2014/4/26,Clothes,9.348872,2018/4/10
1532251,354677,2018/4/12 9:13,PageView,5,M,2017/11/25,1,4,Apple,4178,Phone,2016/4/27,0,0,,Electronics,0,2018/4/12
1027752,69640,2018/4/12 15:41,PageView,6,M,2015/12/11,1,1,Other,4065,Coat,2017/11/24,3056,16561,2017/5/2,Clothes,9.024428,2018/4/12
387460,29150,2018/4/14 17:31,PageView,5,W,2017/2/20,1,4,Chow Tai Fook,5263,Necklace,2018/3/29,4148,16866,2017/12/1,Jewellery Accessories,9.778524,2018/4/14
1343916,68212,2018/4/10 12:05,PageView,5,M,2014/10/22,6,4,Other,3105,Foundation Make-up,2015/10/26,25059,181866,2015/4/9,Beauty Makeup,9.431077,2018/4/10
446159,31700,2018/4/9 9:59,PageView,6,W,2012/1/8,1,4,Joyoung,9487,Electric Kettle,2017/2/28,16178,55670,2015/9/17,Household Eletric Appliance,9.571861,2018/4/9
637373,93489,2018/4/13 11:38,PageView,2,M,2016/10/9,1,5,HLA,405,Coat,2018/4/8,227557,176391,2014/9/22,Clothes,9.213539,2018/4/13
1122641,354075,2018/4/11 12:47,PageView,5,M,2018/3/11,6,5,Huawei,5765,Phone,2014/5/22,0,0,,Electronics,0,2018/4/11
1283470,63684,2018/4/11 9:09,PageView,4,M,2012/10/3,5,3,Apple,5523,Phone,2015/7/9,0,0,,Electronics,0,2018/4/11
648378,175099,2018/4/8 11:22,PageView,2,M,2014/2/14,6,5,Opple,5347,Light,2018/3/14,57316,54440,2015/3/9,Furniture,9.285138,2018/4/8
674985,160328,2018/4/8 13:46,PageView,5,M,2016/1/11,6,4,Chow Taiseng,7430,Bracelet,2015/7/1,1912,19924,2015/6/30,Jewellery Accessories,9.613473,2018/4/8
322649,242219,2018/4/15 9:45,PageView,5,W,2016/8/5,6,4,Chando,2677,Perfume,2016/7/18,11045,112359,2016/7/12,Beauty Makeup,9.442282,2018/4/15
416464,51771,2018/4/10 22:23,PageView,4,W,2016/11/1,6,1,Redmi,834,Phone,2015/12/16,0,0,,Electronics,0,2018/4/10
1543841,327151,2018/4/13 17:12,PageView,5,M,2017/11/3,6,1,LukFook,5545,Ring,2016/1/22,31763,181037,2016/1/22,Jewellery Accessories,9.466692,2018/4/13
857435,59687,2018/4/12 13:29,PageView,2,W,2009/3/6,7,3,Apple,7794,Phone,2012/7/6,0,0,,Electronics,0,2018/4/12
513536,261368,2018/4/12 10:35,PageView,6,M,2015/7/30,5,3,Huawei,1107,Phone,2018/1/9,0,0,,Electronics,0,2018/4/12
282953,102147,2018/4/8 15:58,PageView,6,M,2017/5/29,5,1,HLA,5217,Coat,2017/5/18,61184,129123,2013/5/30,Clothes,9.354657,2018/4/8
838135,230944,2018/4/8 17:03,PageView,5,W,2016/9/7,1,4,Other,9715,Candy,2017/4/12,1422,6019,2013/1/5,Food,9.357062,2018/4/8
860025,139020,2018/4/11 22:14,PageView,6,M,2011/10/15,5,1,Kuka,8902,Bed,2015/6/15,508079,31233,2012/12/14,Furniture,9.207879,2018/4/11
899424,289214,2018/4/13 23:13,PageView,5,M,2009/9/13,7,3,Apple,8039,Phone,2010/9/7,0,0,,Electronics,0,2018/4/13
1357563,291329,2018/4/12 21:05,PageView,5,W,2016/1/24,1,4,HP,1561,Notebook,2016/5/31,0,0,,Electronics,0,2018/4/12
422657,340058,2018/4/9 10:10,PageView,1,W,2012/8/31,7,4,Huawei,7503,Phone,2017/7/17,0,0,,Electronics,0,2018/4/9
978619,175949,2018/4/9 8:45,PageView,5,W,2015/6/8,6,4,Nike,999,Basketball Shoes,2012/12/2,88726,139534,2013/5/23,Outdoor Sports,9.316397,2018/4/9
365925,274074,2018/4/8 21:36,PageView,6,M,2012/10/5,5,3,Huawei,1865,Phone,2015/9/14,0,0,,Electronics,0,2018/4/8
317816,241673,2018/4/15 20:41,PageView,1,M,2012/4/25,7,3,Lays,8148,Potatio Chips,2017/11/9,94311,148435,2014/7/19,Food,9.346251,2018/4/15
1228823,22668,2018/4/12 11:02,PageView,6,W,2010/4/22,5,3,Chow Tai Fook,7311,Necklace,2015/7/30,3439,165681,2015/7/8,Jewellery Accessories,9.167991,2018/4/12
1141298,367431,2018/4/14 10:41,PageView,6,M,2012/10/31,7,3,Other,6851,Candy,2014/10/23,38977,80740,2014/2/27,Food,9.519376,2018/4/14
1143687,163317,2018/4/12 10:11,PageView,5,M,2009/11/11,5,1,Olay,10036,Eye Shadow,2015/11/5,205360,545675,2015/10/30,Beauty Makeup,9.345437,2018/4/12
139712,20838,2018/4/12 20:58,PageView,2,W,2016/6/15,6,4,Apple,5523,Phone,2017/5/5,0,0,,Electronics,0,2018/4/12
192415,141341,2018/4/12 21:33,PageView,5,M,2013/9/1,5,5,ZARA,9599,Coat,2017/5/23,1406,6904,2016/9/27,Clothes,9.631693,2018/4/12
1006430,84469,2018/4/14 19:28,PageView,5,W,2015/6/18,1,3,Huawei,5765,Tablet,2017/4/25,0,0,,Electronics,0,2018/4/14
445804,111172,2018/4/14 8:38,PageView,1,M,2015/2/6,7,1,Microsoft,4296,Xbox,2015/4/15,0,0,,Electronics,0,2018/4/14
1368517,372173,2018/4/9 20:31,PageView,6,M,2014/5/2,1,5,Apple,3527,Phone,2017/9/20,0,0,,Electronics,0,2018/4/9
1426563,248584,2018/4/8 12:07,PageView,5,W,2010/8/25,7,5,Microsoft,9141,Xbox,2012/5/16,0,0,,Electronics,0,2018/4/8
106832,107248,2018/4/8 15:19,PageView,6,W,2013/4/6,7,3,Huawei,1865,Phone,2010/10/8,0,0,,Electronics,0,2018/4/8
1588404,57980,2018/4/14 10:38,PageView,4,M,2016/2/24,6,5,Sony,2480,Digital Camera,2017/9/26,0,0,,Electronics,0,2018/4/14
289352,255132,2018/4/12 8:20,PageView,2,W,2013/11/5,5,4,Apple,4178,Phone,2015/5/8,0,0,,Electronics,0,2018/4/12
1292811,311186,2018/4/8 11:53,PageView,5,W,2016/4/28,6,5,Loreal,5927,Makerup Water,2017/12/23,818,49531,2017/11/14,Beauty Makeup,9.197304,2018/4/8
418171,20327,2018/4/8 10:39,PageView,5,W,2016/7/26,1,4,Li-Ning,8002,Football,2016/3/18,213610,357580,2013/5/23,Outdoor Sports,9.571139,2018/4/8
447627,7033,2018/4/13 19:58,PageView,6,M,2017/7/12,5,5,Quanyou,3379,Sofa,2017/10/9,46735,34994,2015/3/17,Furniture,9.643294,2018/4/13
1299158,253180,2018/4/10 23:26,PageView,6,M,2017/10/30,6,1,Huawei,3433,Phone,2009/11/11,0,0,,Electronics,0,2018/4/10
1422872,45059,2018/4/11 9:28,PageView,6,W,2016/8/15,6,1,Other,4564,Candy,2017/9/9,1881,14258,2017/9/7,Food,9.448374,2018/4/11
1238913,369565,2018/4/8 22:04,PageView,2,M,2012/2/15,7,5,Other,6357,Facial Moisturizer,2016/10/21,234128,519769,2015/5/25,Beauty Makeup,9.556654,2018/4/8
884660,32094,2018/4/13 12:34,PageView,6,M,2018/4/10,6,4,DELL,2189,Notebook,2015/6/23,0,0,,Electronics,0,2018/4/13
1047046,130757,2018/4/8 7:06,PageView,6,W,2010/4/12,7,3,Vivo,5689,Phone,2013/9/6,0,0,,Electronics,0,2018/4/8
581537,312896,2018/4/9 17:09,PageView,1,M,2016/7/17,7,5,Other,5733,Coat,2017/6/18,398541,856414,2013/6/4,Clothes,9.426208,2018/4/9
